,x,s,n,t,p.1,f,c,n.1,k,e,e.1,s.1,s.2,w,w.1,p.2,w.2,o,p.3,k.1,s.3,u,Predict
4283,f,f,y,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,v,p,poisonous
4284,x,f,y,f,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,y,d,poisonous
4285,x,y,g,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,y,d,poisonous
4286,f,y,g,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,p,poisonous
4287,x,f,y,f,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,v,d,poisonous
4288,f,y,g,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,y,g,poisonous
4289,f,y,g,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,v,g,poisonous
4290,k,s,p,t,n,f,c,b,e,e,?,s,s,w,e,p,w,t,e,w,c,w,edible
4291,x,f,y,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,v,d,poisonous
4292,f,f,y,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,v,p,poisonous
4293,f,f,g,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,y,p,poisonous
4294,f,f,g,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,v,g,poisonous
4295,x,f,y,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,y,p,poisonous
4296,f,f,g,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,y,p,poisonous
4297,x,y,g,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,y,g,poisonous
4298,f,y,y,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,y,g,poisonous
4299,f,f,g,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,y,d,poisonous
4300,x,f,y,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,v,d,poisonous
4301,f,f,g,f,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,v,g,poisonous
4302,f,f,g,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,y,d,poisonous
4303,f,f,y,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,y,g,poisonous
4304,f,y,g,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,n,y,d,edible
4305,f,y,g,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,y,d,poisonous
4306,f,y,g,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,v,d,poisonous
4307,f,y,g,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,g,poisonous
4308,x,y,y,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,v,g,poisonous
4309,x,y,g,f,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,y,g,poisonous
4310,x,y,y,f,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,y,p,poisonous
4311,f,f,y,f,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,y,d,poisonous
4312,x,f,y,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,v,g,poisonous
4313,x,y,y,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,y,p,poisonous
4314,f,f,g,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,v,g,poisonous
4315,x,f,y,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,v,d,poisonous
4316,f,f,g,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,v,g,poisonous
4317,f,y,g,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,d,poisonous
4318,f,f,g,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,y,g,poisonous
4319,f,y,y,f,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,v,g,poisonous
4320,f,f,g,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,y,g,poisonous
4321,x,f,y,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,p,poisonous
4322,f,y,g,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,y,g,poisonous
4323,f,y,g,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,y,g,poisonous
4324,f,y,g,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,v,p,poisonous
4325,x,y,r,f,n,f,c,n,p,e,?,s,f,w,w,p,w,o,f,h,v,d,poisonous
4326,f,y,y,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,y,g,poisonous
4327,x,f,y,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,d,poisonous
4328,x,y,n,f,s,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,p,poisonous
4329,f,y,y,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,v,d,poisonous
4330,k,y,n,f,n,f,c,n,w,e,?,k,y,w,n,p,w,o,e,w,v,d,poisonous
4331,f,f,y,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,y,d,poisonous
4332,x,y,g,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,v,d,poisonous
4333,x,y,g,f,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,y,g,poisonous
4334,f,y,g,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,y,g,poisonous
4335,x,f,y,f,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,v,d,poisonous
4336,x,f,g,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,v,d,poisonous
4337,x,y,g,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,v,d,poisonous
4338,x,y,g,f,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,y,g,poisonous
4339,x,y,g,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,y,g,poisonous
4340,f,y,e,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,y,d,edible
4341,f,f,y,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,y,p,poisonous
4342,x,y,y,f,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,v,g,poisonous
4343,f,f,y,f,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,v,g,poisonous
4344,x,f,y,f,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,v,p,poisonous
4345,f,f,g,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,y,g,poisonous
4346,f,f,g,f,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,v,g,poisonous
4347,x,y,y,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,y,g,poisonous
4348,f,s,b,t,f,f,c,b,w,t,b,s,s,w,w,p,w,o,p,h,s,u,poisonous
4349,x,y,g,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,v,g,poisonous
4350,x,y,y,f,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,v,p,poisonous
4351,f,f,g,f,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,v,p,poisonous
4352,f,y,g,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,y,d,poisonous
4353,f,f,y,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,v,d,poisonous
4354,f,y,g,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,y,g,poisonous
4355,x,y,g,f,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,v,g,poisonous
4356,x,s,e,t,n,f,c,b,e,e,?,s,s,w,e,p,w,t,e,w,c,w,edible
4357,f,f,g,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,v,d,poisonous
4358,f,f,y,f,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,y,d,poisonous
4359,f,y,g,f,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,y,d,poisonous
4360,x,y,y,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,y,p,poisonous
4361,f,y,g,f,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,v,d,poisonous
4362,x,f,y,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,y,g,poisonous
4363,b,y,w,t,n,f,w,n,w,e,b,s,s,w,w,p,w,o,p,w,c,l,poisonous
4364,f,s,b,t,f,f,c,b,h,t,b,s,s,w,w,p,w,o,p,h,v,u,edible
4365,x,y,y,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,y,p,poisonous
4366,f,y,g,f,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,y,d,poisonous
4367,f,y,g,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,v,p,poisonous
4368,f,y,y,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,v,p,poisonous
4369,f,f,g,f,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,y,d,poisonous
4370,x,y,y,f,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,v,d,poisonous
4371,x,f,y,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,v,g,poisonous
4372,f,f,g,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,y,g,poisonous
4373,x,s,w,t,f,f,c,b,w,t,b,f,f,w,w,p,w,o,p,h,s,u,poisonous
4374,f,y,g,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,n,v,d,edible
4375,x,y,n,f,y,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,d,poisonous
4376,f,y,g,f,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,y,d,poisonous
4377,f,f,g,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,y,g,poisonous
4378,f,y,e,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,k,v,d,edible
4379,x,y,b,t,n,f,c,b,e,e,?,s,s,w,e,p,w,t,e,w,c,w,edible
4380,x,y,y,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,y,g,poisonous
4381,x,y,y,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,y,d,poisonous
4382,x,y,y,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,v,p,poisonous
4383,x,y,y,f,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,y,g,poisonous
4384,f,f,y,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,y,g,poisonous
4385,f,y,g,f,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,y,g,poisonous
4386,x,f,g,f,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,y,g,poisonous
4387,f,y,y,f,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,v,g,poisonous
4388,x,y,g,f,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,v,g,poisonous
4389,x,y,y,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,y,g,poisonous
4390,f,y,g,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,y,p,poisonous
4391,f,y,y,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,y,g,poisonous
4392,x,y,g,f,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,y,d,poisonous
4393,f,y,g,f,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,v,d,poisonous
4394,f,y,g,f,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,y,p,poisonous
4395,x,y,u,f,n,f,c,n,h,e,?,s,f,w,w,p,w,o,f,h,y,d,poisonous
4396,x,f,g,f,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,v,g,poisonous
4397,f,f,y,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,v,g,poisonous
4398,f,f,y,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,y,g,poisonous
4399,x,f,y,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,v,g,poisonous
4400,f,f,y,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,v,g,poisonous
4401,f,f,g,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,v,g,poisonous
4402,f,y,g,f,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,y,d,poisonous
4403,f,f,g,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,v,g,poisonous
4404,f,f,y,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,y,d,poisonous
4405,f,y,y,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,v,p,poisonous
4406,f,f,g,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,v,p,poisonous
4407,f,y,g,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,g,poisonous
4408,f,f,y,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,d,poisonous
4409,f,f,e,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,n,y,d,edible
4410,f,s,b,t,f,f,c,b,h,t,b,s,f,w,w,p,w,o,p,h,v,u,edible
4411,f,y,g,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,v,d,poisonous
4412,f,f,g,f,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,v,p,poisonous
4413,x,y,y,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,y,g,poisonous
4414,f,f,y,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,y,p,poisonous
4415,f,y,y,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,d,poisonous
4416,f,y,n,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,v,d,edible
4417,f,y,y,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,y,g,poisonous
4418,x,s,b,t,n,f,c,b,e,e,?,s,s,w,w,p,w,t,e,w,c,w,edible
4419,x,y,y,f,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,y,g,poisonous
4420,x,f,y,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,y,d,poisonous
4421,x,y,y,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,y,g,poisonous
4422,f,y,g,f,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,v,p,poisonous
4423,f,f,e,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,k,y,d,edible
4424,f,f,y,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,v,d,poisonous
4425,f,f,y,f,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,v,g,poisonous
4426,x,y,y,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,d,poisonous
4427,x,f,y,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,v,g,poisonous
4428,x,y,n,f,y,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,d,poisonous
4429,f,f,y,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,v,p,poisonous
4430,x,y,y,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,v,g,poisonous
4431,f,f,y,f,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,v,p,poisonous
4432,f,f,y,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,v,d,poisonous
4433,f,y,g,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,v,p,poisonous
4434,f,y,g,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,v,g,poisonous
4435,f,y,g,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,v,d,poisonous
4436,f,f,g,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,g,poisonous
4437,x,s,g,f,c,f,c,n,p,e,b,s,s,w,w,p,w,o,p,k,v,d,poisonous
4438,x,y,y,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,g,poisonous
4439,f,s,g,t,f,f,c,b,h,t,b,f,f,w,w,p,w,o,p,h,s,u,poisonous
4440,x,y,g,f,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,v,g,poisonous
4441,x,y,y,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,y,p,poisonous
4442,x,y,y,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,y,d,poisonous
4443,f,y,g,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,k,y,d,edible
4444,f,f,g,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,y,d,poisonous
4445,f,y,y,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,v,g,poisonous
4446,f,y,g,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,y,p,poisonous
4447,x,y,y,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,y,g,poisonous
4448,x,y,g,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,y,d,poisonous
4449,x,f,y,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,y,p,poisonous
4450,f,y,n,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,n,v,d,edible
4451,x,y,g,f,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,y,g,poisonous
4452,f,f,y,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,v,g,poisonous
4453,x,y,g,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,v,p,poisonous
4454,x,y,y,f,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,y,g,poisonous
4455,f,f,g,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,p,poisonous
4456,f,f,g,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,y,g,poisonous
4457,x,y,y,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,y,g,poisonous
4458,k,y,b,t,n,f,c,b,e,e,?,s,s,e,e,p,w,t,e,w,c,w,edible
4459,x,y,y,f,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,y,p,poisonous
4460,x,y,n,f,s,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,d,poisonous
4461,f,y,g,f,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,y,p,poisonous
4462,x,y,g,f,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,y,p,poisonous
4463,f,y,y,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,v,g,poisonous
4464,f,y,g,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,v,d,poisonous
4465,f,f,g,f,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,y,g,poisonous
4466,f,y,y,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,y,g,poisonous
4467,x,f,y,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,d,poisonous
4468,x,s,w,t,f,f,c,b,p,t,b,f,f,w,w,p,w,o,p,h,v,u,poisonous
4469,x,y,y,f,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,v,g,poisonous
4470,f,f,y,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,y,p,poisonous
4471,x,f,y,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,y,g,poisonous
4472,x,y,y,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,v,p,poisonous
4473,f,y,y,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,v,g,poisonous
4474,x,y,y,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,y,g,poisonous
4475,x,y,y,f,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,v,p,poisonous
4476,f,y,g,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,y,p,poisonous
4477,f,f,y,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,y,p,poisonous
4478,f,f,g,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,v,p,poisonous
4479,f,y,n,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,y,d,edible
4480,x,y,y,f,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,v,d,poisonous
4481,x,y,g,f,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,v,p,poisonous
4482,f,y,g,f,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,v,g,poisonous
4483,f,y,g,f,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,v,g,poisonous
4484,x,y,y,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,d,poisonous
4485,f,f,g,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,v,p,poisonous
4486,x,y,g,f,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,v,d,poisonous
4487,x,y,y,f,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,v,d,poisonous
4488,x,f,y,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,y,d,poisonous
4489,f,f,y,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,y,d,poisonous
4490,f,f,c,f,n,f,w,n,w,e,b,s,f,w,n,p,w,o,e,w,v,l,edible
4491,f,y,g,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,v,g,poisonous
4492,x,y,g,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,y,p,poisonous
4493,f,f,y,f,n,f,c,n,w,e,?,k,y,w,y,p,w,o,e,w,v,d,poisonous
4494,f,f,y,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,y,p,poisonous
4495,x,s,g,t,f,f,c,b,p,t,b,f,s,w,w,p,w,o,p,h,v,g,poisonous
4496,f,s,n,t,n,f,c,b,e,e,?,s,s,w,w,p,w,t,e,w,c,w,edible
4497,x,y,n,f,y,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,p,poisonous
4498,x,s,g,f,c,f,w,n,u,e,b,s,s,w,w,p,w,o,p,k,v,d,edible
4499,x,f,y,f,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,y,d,poisonous
4500,f,y,g,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,v,g,poisonous
4501,f,y,g,f,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,y,d,poisonous
4502,x,y,y,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,v,g,poisonous
4503,x,y,y,f,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,v,g,poisonous
4504,x,y,g,f,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,y,d,poisonous
4505,f,y,g,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,y,d,poisonous
4506,f,y,g,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,y,g,poisonous
4507,f,f,y,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,y,g,poisonous
4508,x,f,y,f,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,v,d,poisonous
4509,f,f,y,f,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,v,p,poisonous
4510,f,f,g,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,y,p,poisonous
4511,f,f,y,f,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,y,p,poisonous
4512,f,y,y,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,y,d,poisonous
4513,f,f,y,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,p,poisonous
4514,f,f,y,f,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,v,d,poisonous
4515,x,y,g,f,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,v,g,poisonous
4516,x,y,g,f,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,v,g,poisonous
4517,x,y,g,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,d,poisonous
4518,x,s,b,t,n,f,c,b,w,e,?,s,s,e,w,p,w,t,e,w,c,w,edible
4519,f,f,g,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,v,d,poisonous
4520,x,f,y,f,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,v,d,poisonous
4521,x,y,n,f,s,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,l,poisonous
4522,x,y,g,f,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,y,d,poisonous
4523,f,y,g,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,v,p,poisonous
4524,f,y,g,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,y,d,poisonous
4525,f,f,y,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,g,poisonous
4526,x,y,y,f,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,v,d,poisonous
4527,x,f,y,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,v,g,poisonous
4528,f,f,g,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,y,p,poisonous
4529,x,y,g,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,v,p,poisonous
4530,f,f,y,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,y,g,poisonous
4531,x,f,y,f,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,y,g,poisonous
4532,x,y,u,f,n,f,c,n,h,e,?,s,f,w,w,p,w,o,f,h,v,d,poisonous
4533,f,y,b,t,n,f,c,b,e,e,?,s,s,e,e,p,w,t,e,w,c,w,edible
4534,f,y,y,f,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,y,d,poisonous
4535,x,y,y,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,y,p,poisonous
4536,x,y,g,f,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,v,g,poisonous
4537,f,f,g,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,y,d,poisonous
4538,f,y,g,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,g,poisonous
4539,f,f,g,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,y,g,poisonous
4540,f,y,g,f,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,v,g,poisonous
4541,x,f,y,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,y,g,poisonous
4542,f,f,y,f,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,v,d,poisonous
4543,f,f,g,f,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,v,d,poisonous
4544,f,y,y,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,v,g,poisonous
4545,f,y,y,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,y,g,poisonous
4546,f,f,g,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,v,g,poisonous
4547,f,s,b,t,f,f,c,b,w,t,b,s,f,w,w,p,w,o,p,h,v,g,edible
4548,f,s,w,t,n,f,c,b,g,e,b,s,s,w,w,p,w,t,p,r,v,m,poisonous
4549,x,y,y,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,y,p,poisonous
4550,f,f,y,f,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,v,p,poisonous
